date_time;filename;lines_html;size_html;size2_html;lines_typescript;size_typescript;size2_javascript;lines_css;size_css;size2_css;size2_zip
2020-09-07 17:45:13;js13k2020_20200907_174513.zip;9c4c37f088abd9777a0270d946be21c4b67adc9d;60;2317;1730;1320;39347;10926;166;2470;1840;5632
2020-09-08 01:10:05;js13k2020_20200908_011005.zip;5baaa0c438484bc8c61a124bc76fa7be41ab8a3f;61;2353;1730;1385;41484;11929;166;2470;1840;5909
2020-09-09 02:08:27;js13k2020_20200909_020827.zip;1b28e757a365498794f9be26406416d447fc1e7d;61;2353;1730;1484;44778;12485;166;2468;1838;6122
2020-09-09 12:25:20;js13k2020_20200909_122520.zip;4b00b9af4e97da5e452fdcb5b3f477cb87bfbfc3;63;2427;1730;1681;49491;13450;166;2468;1838;6490
2020-09-09 23:08:17;js13k2020_20200909_230817.zip;3a491716d242d9bfab3f1111482cb0b22b081982;63;2427;1730;1746;51368;13693;166;2468;1838;6585
2020-09-09 23:25:06;js13k2020_20200909_232506.zip;ff0f225ad9fa9ff235dcbf155ff8138523bfc2e7;63;2427;1730;1811;53659;14299;166;2468;1838;6818
2020-09-09 23:40:57;js13k2020_20200909_234057.zip;95f435ef6d33a447804f7fde8896c647495eabfa;63;2427;1730;1817;53957;14307;166;2468;1838;6834
2020-09-10 03:16:18;js13k2020_20200910_031618.zip;7435e56ad5d0bc5e08c89fd4ddf217b1281af2b0;63;2436;1730;1839;54669;14358;166;2468;1838;6882
2020-09-10 03:33:14;js13k2020_20200910_033314.zip;7c8f71b4b9df7f89ac800c6be9b88ad6226f7336;63;2427;1730;1829;54077;14367;166;2470;1840;6883
2020-09-10 21:48:42;js13k2020_20200910_214842.zip;b25a5dda3805fa12d5f7a6342d452477194271c6;63;2427;1730;1889;56966;15932;166;2470;1840;7262
2020-09-10 23:41:38;js13k2020_20200910_234138.zip;6203b8cf7b9f907892413a0b796c889d662d58b7;63;2427;1730;1908;57474;16065;166;2470;1840;7305
2020-09-11 02:18:13;js13k2020_20200911_021813.zip;d743736c74edc5812db2d469fd0400bc32f88799;65;2457;1755;1935;58017;16397;191;2906;2185;7551
2020-09-11 17:00:53;js13k2020_20200911_170053.zip;758bae9a6a1305c197b00bb8c05e9994edbfbcad;66;2494;1755;2017;60445;17133;191;2906;2185;7772
2020-09-11 20:20:55;js13k2020_20200911_202055.zip;22fc66938edd98fffd88dc9a72e50830c9381eca;68;2573;1755;2191;65601;19285;191;2906;2185;8408
2020-09-12 11:43:55;js13k2020_20200912_114355.zip;b178f997b8819fa67424fe7d566cbd3a23039e9a;69;2607;1755;2356;69421;20123;191;2906;2185;8695
2020-09-12 12:12:47;js13k2020_20200912_121247.zip;ccc4eebba63846c57de055530b8e2db52c9b820c;52;1931;1127;2356;69421;20123;191;2906;2185;8580
2020-09-12 14:18:59;js13k2020_20200912_141859.zip;6a35280f926632920bd076a5dbb3f409b91f7adc;53;2034;1227;2502;73001;21258;191;2906;2185;9093
2020-09-12 17:37:39;js13k2020_20200912_173739.zip;bb3b017a619504db5577a87a2aaab6edb1509aaf;53;2112;1305;2691;77856;22392;203;3017;2266;9566
2020-09-12 20:00:20;js13k2020_20200912_200020.zip;164e0d7991ab402530ef1dc6bec26dc03b5a5c67;53;2112;1305;2865;81909;22967;203;3017;2266;9852
2020-09-12 21:05:48;js13k2020_20200912_210548.zip;1e76a80aa5743dec8ac74fa1b1c8ffd426e7721a;53;2112;1305;3005;85683;23972;203;3017;2266;10205
2020-09-13 01:21:35;js13k2020_20200913_012135.zip;a2c5ed6ec4b24cf35a584e69ca53c479f5e6a027;55;2204;1359;3180;90342;25186;203;3017;2266;10624
2020-09-13 02:12:59;js13k2020_20200913_021259.zip;fb2cb213897a47b69afee775486dfb941dc5efb7;55;2204;1359;3205;91023;25396;203;3017;2266;10754
